Date_Time,Block Number,Total Time,Get Block Time,Parse Time,Put Data Time
2025-04-26 12:48:58.747,0,0.183,0.094,0.000,0.000
2025-04-26 12:49:52.454,1000,53.891,0.834,0.000,43.119
2025-04-26 12:50:41.936,2000,103.373,1.452,0.000,83.086
2025-04-26 12:55:09.983,1000,46.915,0.652,0.000,34.418
2025-04-26 12:55:58.095,2000,95.028,1.208,0.000,73.421
2025-04-26 12:59:55.386,1000,55.508,0.869,0.000,44.342
2025-04-26 13:01:09.667,1000,55.301,0.729,0.000,44.602
2025-04-26 13:02:01.755,2000,107.390,1.404,0.000,86.578
2025-04-26 13:07:53.125,1000,53.143,0.877,0.000,42.583
2025-04-26 13:08:47.661,2000,107.679,1.702,0.000,86.434
2025-04-26 13:09:52.170,1000,54.379,0.867,0.000,43.418
2025-04-26 13:11:13.957,1000,52.073,0.881,0.000,41.665
2025-04-26 13:15:03.466,1000,9.719,0.173,0.000,7.730
2025-04-26 13:15:51.259,2000,57.512,0.714,0.000,46.754
2025-04-26 13:21:36.256,3000,40.075,0.130,0.000,38.167
2025-04-26 13:25:27.336,1000,54.211,0.756,0.000,43.698
2025-04-26 13:26:17.887,2000,104.763,1.407,0.000,84.858
2025-04-26 13:32:11.111,3000,457.987,2.061,0.000,428.079
2025-04-26 13:36:33.255,1000,50.109,0.714,0.000,40.429
2025-04-26 13:37:21.787,2000,98.640,1.290,0.000,79.905
2025-04-26 13:43:35.169,3000,472.022,2.092,0.000,442.719
2025-04-26 13:57:57.305,1000,49.423,0.666,0.000,39.938
2025-04-26 13:58:46.354,2000,98.472,1.224,0.000,79.760
2025-04-26 14:04:59.628,3000,471.746,1.997,0.000,442.163
2025-04-26 14:11:40.259,4000,872.377,2.673,0.000,832.331
2025-04-26 14:43:47.445,1000,48.692,0.659,0.000,39.325
2025-04-26 14:44:35.819,2000,97.066,1.194,0.000,78.705
2025-04-26 14:50:28.267,3000,449.513,1.821,0.000,421.066
2025-04-26 14:57:12.055,4000,853.302,2.502,0.000,814.421
2025-04-26 15:16:27.068,1000,52.582,0.768,0.000,42.102
2025-04-26 15:17:17.279,2000,102.793,1.433,0.000,82.562
2025-04-26 15:23:41.947,3000,487.461,2.203,0.000,456.236
2025-04-26 15:30:10.696,4000,876.210,2.804,0.000,834.979
2025-04-26 15:45:01.553,5000,1767.067,3.459,0.000,1713.968
2025-04-26 16:03:53.176,1000,51.880,0.755,0.000,41.960
2025-04-26 16:04:43.716,2000,102.420,1.377,0.000,83.125
2025-04-26 16:10:21.196,3000,439.900,1.955,0.000,411.137
2025-04-26 16:16:31.246,4000,809.951,2.520,0.000,771.620
2025-04-26 16:30:58.339,5000,1677.043,3.105,0.000,1627.439
2025-04-26 16:47:33.208,6000,2671.912,3.712,0.000,2612.231
2025-04-26 17:16:28.651,7000,4407.356,4.343,0.000,4334.758
2025-04-26 17:25:57.752,8000,4976.457,4.934,0.000,4897.382
2025-04-26 17:26:46.014,9000,5024.719,5.459,0.000,4937.248
2025-04-26 17:27:34.026,10000,5072.730,5.968,0.000,4976.929
2025-04-26 17:28:22.432,11000,5121.136,6.482,0.000,5016.915
2025-04-26 17:29:11.363,12000,5170.067,7.034,0.000,5057.214
2025-04-26 17:30:00.055,13000,5218.759,7.544,0.000,5097.357
2025-04-26 17:30:47.488,14000,5266.193,8.065,0.000,5136.397
2025-04-26 17:31:35.057,15000,5313.762,8.611,0.000,5175.508
2025-04-26 17:32:23.329,16000,5362.033,9.127,0.000,5215.305
2025-04-26 17:33:11.986,17000,5410.690,9.650,0.000,5255.400
2025-04-26 17:34:01.204,18000,5459.909,10.164,0.000,5296.151
